"species","lon","lat"
"Amazilia rutila",-86.338558,11.994941
"Amazilia rutila",-89.095726,14.867648
"Amazilia rutila",-106.491559,23.890127
"Amazilia rutila",-103.670541,19.185382
"Amazilia rutila",-97.837447,16.63237
"Amazilia rutila",-86.851528,21.161908
"Amazilia rutila",-87.477789,20.003427
"Amazilia rutila",-96.13925,15.763703
"Amazilia rutila",-105.909668,22.779358
"Amazilia rutila",-87.048371,20.686707
"Amazilia rutila",-87.955771,14.85468
"Amazilia rutila",-87.021992,14.003583
"Amazilia rutila",-87.202797,20.986832
"Amazilia rutila",-91.086798,14.39955
"Amazilia rutila",-87.189248,13.310783
"Amazilia rutila",-89.569782,20.992236
"Amazilia rutila",-85.439753,10.640035
"Amazilia rutila",-101.427083,17.575517
"Amazilia rutila",-89.956974,21.194878
"Amazilia rutila",-105.209421,21.810351
"Amazilia rutila",-97.979563,16.429246
"Amazilia rutila",-85.137222,9.957483
"Amazilia rutila",-104.438851,19.603907
"Amazilia rutila",-86.928916,20.858631
"Amazilia rutila",-92.226213,15.014006
"Amazilia rutila",-105.060181,21.572219
"Amazilia rutila",-85.963379,11.943876
"Amazilia rutila",-87.81,15.4
"Amazilia rutila",-106.379197,23.741948
"Amazilia rutila",-88.409426,21.195208
"Amazilia rutila",-85.562772,10.895085
"Amazilia rutila",-84.605598,9.769694
"Amazilia rutila",-89.274387,20.730474
"Amazilia rutila",-93.199336,15.683162
"Amazilia rutila",-89.799732,21.042881
"Amazilia rutila",-101.599244,17.653036
"Amazilia rutila",-96.609861,15.691244
"Amazilia rutila",-96.447868,15.921137
"Amazilia rutila",-85.678404,9.964307
"Amazilia rutila",-104.849751,21.482836
"Amazilia rutila",-105.347808,20.340666
"Amazilia rutila",-85.334297,10.383413
"Amazilia rutila",-85.684822,10.549599
"Amazilia rutila",-86.0265,13.1435
"Amazilia rutila",-105.931,23.4101
"Amazilia rutila",-86.6664,15.4846
"Amazilia rutila",-105.246,21.5321
"Amazilia rutila",-84.1971,9.97967
"Amazilia rutila",-87.9469,19.6269
"Amazilia rutila",-105.16,20.7284
"Amazilia rutila",-86.2123,11.8622
"Amazilia rutila",-85.7603,10.146
"Amazilia rutila",-87.9977,14.4851
"Amazilia rutila",-85.1162,10.3228
"Amazilia rutila",-88.0883,21.5662
"Amazilia rutila",-89.7706,20.3596
"Amazilia rutila",-88.799,14.5791
"Amazilia rutila",-85.8563,11.3227
"Amazilia rutila",-87.1939,13.9988
"Amazilia rutila",-86.2532,13.2557
"Amazilia rutila",-85.9126,12.9172
"Amazilia rutila",-84.9734,10.1778
"Amazilia rutila",-85.6372,10.3572
"Amazilia rutila",-87.7437,19.7176
"Amazilia rutila",-97.1883,15.9418
"Amazilia rutila",-85.753,10.8478
"Amazilia rutila",-89.5607,20.817
"Amazilia rutila",-88.3025,18.5189
"Amazilia rutila",-89.0511,20.9763
"Amazilia rutila",-94.8944,16.5802
"Amazilia rutila",-86.8549,12.541
"Amazilia rutila",-87.8733,14.6178
"Amazilia rutila",-89.314,21.1361
"Amazilia rutila",-89.6326,21.1544
"Amazilia rutila",-85.5954,10.1732
"Amazilia rutila",-87.5052,12.8882
"Amazilia rutila",-86.8022,13.4151
"Amazilia rutila",-87.4641,21.1055
"Amazilia rutila",-104.686,19.2218
"Amazilia rutila",-85.3677,10.1756
"Amazilia rutila",-88.6627,21.1924
"Amazilia rutila",-92.8936,15.5245
"Amazilia rutila",-87.1743,12.5473
"Amazilia rutila",-105.32,20.9639
"Amazilia rutila",-92.9579,15.2855
"Amazilia rutila",-87.5029,20.8197
"Amazilia rutila",-87.995,13.8831
"Amazilia rutila",-90.8935,13.9884
"Amazilia rutila",-87.7057,18.7298
"Amazilia rutila",-85.2015,10.5932
"Amazilia rutila",-92.3316,14.6445
"Amazilia rutila",-84.5246,9.9233
"Amazilia rutila",-88.1727,21.1915
"Amazilia rutila",-85.8131,12.4047
"Amazilia rutila",-104.508,19.1432
"Amazilia rutila",-90.1208,20.3937
"Amazilia rutila",-87.0185,12.3633
"Amazilia rutila",-88.5988,14.5657
"Amazilia rutila",-84.699,10.0339
"Amazilia rutila",-90.1964,20.8135
"Amazilia rutila",-90.6011,14.3414
"Amazilia rutila",-96.1055,15.9938
"Amazilia rutila",-91.4603,14.5417
"Amazilia rutila",-92.1016,14.5022
"Amazilia rutila",-90.5821,14.5205
"Amazilia rutila",-85.4023,10.0116
"Amazilia rutila",-88.9304,21.3695
"Amazilia rutila",-87.3411,21.4258
"Amazilia rutila",-88.9738,14.4835
"Amazilia rutila",-90.0241,14.2908
"Amazilia rutila",-87.7443,21.5272
"Amazilia rutila",-103.717,19.3737
"Amazilia rutila",-99.5641,17.1187
"Amazilia rutila",-87.1181,13.5871
"Amazilia rutila",-103.942,18.9431
"Amazilia rutila",-86.8917,15.4289
"Amazilia rutila",-88.0271,14.1851
"Amazilia rutila",-92.3759,14.924
"Amazilia rutila",-87.1985,13.1288
"Amazilia rutila",-92.4897,15.0915
"Amazilia rutila",-100.411,17.233
"Amazilia rutila",-99.759,16.8105
"Amazilia rutila",-86.5133,11.8675
"Amazilia rutila",-90.6801,13.9515
"Amazilia rutila",-85.8192,10.3931
"Amazilia rutila",-100.245,17.3272
"Amazilia rutila",-91.7327,14.6367
"Amazilia rutila",-87.5295,20.1806
"Amazilia rutila",-89.0376,20.7961
"Amazilia rutila",-87.8118,20.0024
"Amazilia rutila",-100.481,17.0806
"Amazilia rutila",-103.934,19.3177
"Amazilia rutila",-86.5671,14.0309
"Amazilia rutila",-86.1609,12.9082
"Amazilia rutila",-106.076,23.1166
"Amazilia rutila",-87.2462,20.4884
"Amazilia rutila",-86.7617,13.8713
"Amazilia rutila",-87.612,14.6895
"Amazilia rutila",-87.6538,21.2956
"Amazilia rutila",-85.3008,10.7335
"Amazilia rutila",-86.1653,14.7162
"Amazilia rutila",-86.3786,13.0342
"Amazilia rutila",-102.214,17.9616
"Amazilia rutila",-87.3075,13.7482
"Amazilia rutila",-90.8334,14.4415
"Amazilia rutila",-87.6624,14.3294
"Amazilia rutila",-86.0497,12.5934
"Amazilia rutila",-90.7713,14.2418
"Amazilia rutila",-85.5428,12.1617
"Amazilia rutila",-87.8057,15.0447
"Amazilia rutila",-106.769,23.7516
"Amazilia rutila",-87.5997,20.6716
"Amazilia rutila",-93.7407,15.9094
"Amazilia rutila",-100.163,16.9975
"Amazilia rutila",-86.4605,13.2138
"Amazilia rutila",-87.0283,12.6955
"Amazilia rutila",-85.9536,11.7088
"Amazilia rutila",-88.2632,18.6898
"Amazilia rutila",-86.9276,13.6109
"Amazilia rutila",-89.354,21.3138
"Amazilia rutila",-87.4171,13.2968
"Amazilia rutila",-86.9238,21.3303
"Amazilia rutila",-88.2833,15.124
"Amazilia rutila",-85.195,9.80053
"Amazilia rutila",-95.0241,16.3335
"Amazilia rutila",-91.1869,14.5414
"Amazilia rutila",-89.2854,20.5631
"Amazilia rutila",-85.7087,12.894
"Amazilia rutila",-90.4792,13.9104
"Amazilia rutila",-86.617,12.4016
"Amazilia rutila",-96.998,15.8655
"Amazilia rutila",-87.5697,13.4744
"Amazilia rutila",-93.7063,16.2807
"Amazilia rutila",-104.852,20.761
"Amazilia rutila",-106.881,24.1456
"Amazilia rutila",-87.8736,21.401
"Amazilia rutila",-86.4658,15.437
"Amazilia rutila",-101.324,17.9182
"Amazilia rutila",-88.673,14.7754
"Amazilia rutila",-87.8687,14.0249
"Amazilia rutila",-106.068,23.2869
"Amazilia rutila",-87.9718,15.2175
"Amazilia rutila",-99.5598,17.3205
"Amazilia rutila",-89.7855,14.8622
"Amazilia rutila",-87.3418,14.0778
"Amazilia rutila",-90.1524,14.0174
"Amazilia rutila",-95.9709,15.8389
"Amazilia rutila",-87.3945,14.3336
"Amazilia rutila",-104.114,19.2871
"Amazilia rutila",-106.61,24.4037
"Amazilia rutila",-85.5959,10.7135
"Amazilia rutila",-85.5945,11.1217
"Amazilia rutila",-105.47,20.7833
"Amazilia rutila",-99.0788,16.9729
"Amazilia rutila",-88.2386,14.9384
"Amazilia rutila",-105.038,21.3074
"Amazilia rutila",-87.7068,13.8939
"Amazilia rutila",-87.541,14.8516
"Amazilia rutila",-89.1811,14.4416
"Amazilia rutila",-85.8287,15.1484
"Amazilia rutila",-88.1023,19.2018
"Amazilia rutila",-106.867,23.9144
"Amazilia rutila",-85.7452,12.6072
"Amazilia rutila",-88.4292,21.416
"Amazilia rutila",-103.527,19.3923
"Amazilia rutila",-104.664,21.3108
"Amazilia rutila",-86.3553,11.7594
"Amazilia rutila",-105.092,19.5849
"Amazilia rutila",-105.277,20.1412
"Amazilia rutila",-87.5906,19.8106
"Amazilia rutila",-88.4222,14.4051
"Amazilia rutila",-106.333,23.43
"Amazilia rutila",-92.689,15.2756
"Amazilia rutila",-89.0045,14.3102
"Amazilia rutila",-93.7814,16.0736
"Amazilia rutila",-105.53,20.3121
"Amazilia rutila",-105.149,20.0136
"Amazilia rutila",-87.1571,14.1797
"Amazilia rutila",-85.8983,14.8796
"Amazilia rutila",-105.126,21.1614
"Amazilia rutila",-89.4605,20.6295
"Amazilia rutila",-106.591,23.6844
"Amazilia rutila",-86.8329,12.363
"Amazilia rutila",-87.3654,20.3204
"Amazilia rutila",-103.839,19.4881
"Amazilia rutila",-85.0002,10.5936
"Amazilia rutila",-89.3181,14.5597
"Amazilia rutila",-89.5189,14.8425
"Amazilia rutila",-105.361,22.1915
"Amazilia rutila",-87.1028,21.4066
"Amazilia rutila",-88.1015,21.3671
"Amazilia rutila",-88.1194,14.7999
"Amazilia rutila",-88.4514,15.0275
"Amazilia rutila",-96.4273,15.7363
"Amazilia rutila",-88.2335,19.0018
"Amazilia rutila",-104.833,19.3086
"Amazilia rutila",-87.8556,18.2735
"Amazilia rutila",-87.1411,14.6404
"Amazilia rutila",-88.7901,15.1097
"Amazilia rutila",-86.123,11.4751
"Amazilia rutila",-88.5773,15.2358
"Amazilia rutila",-104.882,21.6693
"Amazilia rutila",-96.7253,15.8818
"Amazilia rutila",-89.993,14.6326
"Amazilia rutila",-89.3513,14.8282
"Amazilia rutila",-87.116,14.8847
"Amazilia rutila",-95.583,15.9674
"Amazilia rutila",-104.826,20.5402
"Amazilia rutila",-88.4525,14.2319
"Amazilia rutila",-87.2946,12.6799
"Amazilia rutila",-99.2925,16.7371
"Amazilia rutila",-94.7017,16.5713
"Amazilia rutila",-86.1356,12.1452
"Amazilia rutila",-89.7246,20.8655
"Amazilia rutila",-85.1779,11.9724
"Amazilia rutila",-88.7427,14.2805
"Amazilia rutila",-104.331,19.4153
"Amazilia rutila",-89.388,20.9383
"Amazilia rutila",-102.783,18.5581
"Amazilia rutila",-105.42,21.7992
"Amazilia rutila",-95.0681,16.5257
"Amazilia rutila",-86.701,15.0257
"Amazilia rutila",-105.207,21.318
"Amazilia rutila",-104.979,19.4284
"Amazilia rutila",-90.9533,14.2277
"Amazilia rutila",-94.3603,16.4812
"Amazilia rutila",-89.9538,20.5619
"Amazilia rutila",-86.8671,13.238
"Amazilia rutila",-93.1377,15.4466
"Amazilia rutila",-88.2503,21.4934
"Amazilia rutila",-101.641,17.8711
"Amazilia rutila",-106.642,24.064
"Amazilia rutila",-90.3801,14.1701
"Amazilia rutila",-105.731,22.873
"Amazilia rutila",-95.235,16.326667
"Amazilia rutila",-105.856667,22.991667
"Amazilia rutila",-94.23,16.366667
"Amazilia rutila",-98.766667,16.75
"Amazilia rutila",-100,16.916667
"Amazilia rutila",-97.073333,16.1
"Amazilia rutila",-98.266667,16.35
"Amazilia rutila",-93.961667,16.11
"Amazilia rutila",-100.683333,17.266667
"Amazilia rutila",-98.583333,16.366667
"Amazilia rutila",-106.186667,23.538333
"Amazilia rutila",-106.95,24.983333
"Amazilia rutila",-105.496667,23.01
"Amazilia rutila",-106.466667,23.556667
"Amazilia rutila",-105.538333,22.36
"Amazilia rutila",-104.833333,21.188333
"Amazilia rutila",-103.796667,19.036667
"Amazilia rutila",-105.363333,22.395
"Amazilia rutila",-105.48,22.683333
"Amazilia rutila",-104.65,19.456667
"Amazilia rutila",-87.183333,21.216667
"Amazilia rutila",-89.644437,14.553436
"Amazilia rutila",-105.052691,21.883154
"Amazilia rutila",-86.488144,13.564109
"Amazilia rutila",-105.709,22.5499
"Amazilia rutila",-93.2867,15.9047
"Amazilia rutila",-90.4022,20.8237
"Amazilia rutila",-95.7825,15.9249
"Amazilia rutila",-89.7551,20.6665
"Amazilia rutila",-88.7476,14.0886
"Amazilia rutila",-84.9153,10.3591
"Amazilia rutila",-86.2866,12.7689
"Amazilia rutila",-88.2997,15.37
"Amazilia rutila",-87.4525,15.1988
"Amazilia rutila",-90.421,20.6463
"Amazilia rutila",-87.6983,14.5433
"Amazilia rutila",-93.5883,15.8056
"Amazilia rutila",-90.2351,14.3487
"Amazilia rutila",-92.8357,15.1705
"Amazilia rutila",-87.7512,13.6071
"Amazilia rutila",-86.6026,13.4372
"Amazilia rutila",-89.4309,14.4111
"Amazilia rutila",-88.6345,21.3687
"Amazilia rutila",-87.9973,15.3979
"Amazilia rutila",-89.84,14.3611
"Amazilia rutila",-91.1961,13.9938
"Amazilia rutila",-86.1833,14.8829
"Amazilia rutila",-85.467,12.5581
"Amazilia rutila",-87.4104,13.1289
"Amazilia rutila",-98.4125,16.4732
"Amazilia rutila",-86.8133,12.9644
"Amazilia rutila",-87.489,13.8206
"Amazilia rutila",-89.1782,21.2934
"Amazilia rutila",-87.4381,21.2751
"Amazilia rutila",-89.0897,21.1507
"Amazilia rutila",-87.7766,18.546
"Amazilia rutila",-88.9158,14.9427
"Amazilia rutila",-103.387,19.1462
"Amazilia rutila",-86.962,12.875
"Amazilia rutila",-90.5625,14.1374
"Amazilia rutila",-97.7287,16.1768
"Amazilia rutila",-87.5745,20.3514
"Amazilia rutila",-104.818,20.1806
"Amazilia rutila",-83.7786,13.2521
"Amazilia rutila",-84.0751,13.4801
"Amazilia rutila",-85.3592,12.0948
"Amazilia rutila",-86.4148,12.1575
"Amazilia rutila",-87.741,13.4344
"Amazilia rutila",-85.1912,12.2038
"Amazilia rutila",-87.1702,12.8473
"Amazilia rutila",-106.246,23.1413
"Amazilia rutila",-106.065,22.8815
"Amazilia rutila",-83.4025,14.0343
"Amazilia rutila",-105.39,20.0144
"Amazilia rutila",-86.9889,13.0999
"Amazilia rutila",-86.8308,14.0748
"Amazilia rutila",-88.0648,15.0563
"Amazilia rutila",-89.9556,20.9134
"Amazilia rutila",-92.1073,14.73
"Amazilia rutila",-87.0037,21.0867
"Amazilia rutila",-90.3049,20.5231
"Amazilia rutila",-84.0858,14.6992
"Amazilia rutila",-85.7595,11.1581
"Amazilia rutila",-104.592,19.7406
"Amazilia rutila",-86.8264,14.579
"Amazilia rutila",-90.9382,14.5725
"Amazilia rutila",-93.5928,16.1431
"Amazilia rutila",-104.332,19.2013
"Amazilia rutila",-105.129,20.9809
"Amazilia rutila",-86.5682,14.5541
"Amazilia rutila",-85.8811,12.1014
"Amazilia rutila",-83.5348,13.929
"Amazilia rutila",-93.8766,16.3364
"Amazilia rutila",-90.2343,13.807
"Amazilia rutila",-104.009,19.1463
"Amazilia rutila",-91.7318,14.2279
"Amazilia rutila",-85.5133,12.3771
"Amazilia rutila",-86.5506,13.8421
"Amazilia rutila",-99.7856,16.9868
"Amazilia rutila",-103.5854,18.53069
"Amazilia rutila",-102.694518,18.119604
"Amazilia rutila",-99.047996,16.797001
"Amazilia rutila",-102.040497,18.008499
"Amazilia rutila",-88.020278,18.613333
"Amazilia rutila",-99.09447,16.63242
"Amazilia rutila",-92.502222,15.279722
"Amazilia rutila",-103.450556,18.340278
"Amazilia rutila",-103.615,18.776111
"Amazilia rutila",-103.396111,18.650833
"Amazilia rutila",-102.37,18.276667
"Amazilia rutila",-97.29604769,16.11578312
"Amazilia rutila",-103.5092073,18.95262608
"Amazilia rutila",-92.547763,14.861898
"Amazilia rutila",-94.521716,16.30522
"Amazilia rutila",-85.5487,12.7055
"Amazilia rutila",-84.9441,9.89192
"Amazilia rutila",-106.865,24.3744
"Amazilia rutila",-106.384,23.2363
"Amazilia rutila",-104.794,21.8388
"Amazilia rutila",-104.136,19.0032
"Amazilia rutila",-88.3704,14.0854
"Amazilia rutila",-88.5731,14.0885
"Amazilia rutila",-91.3702,14.2984
"Amazilia rutila",-86.0698,15.0305
"Amazilia rutila",-98.9148,16.5549
"Amazilia rutila",-86.9793,14.2285
"Amazilia rutila",-86.4684,12.677
"Amazilia rutila",-87.149,15.134
"Amazilia rutila",-104.962,20.896
"Amazilia rutila",-84.7217,10.2039
"Amazilia rutila",-86.5756,14.7558
"Amazilia rutila",-104.366758,19.770775
"Amazilia rutila",-103.323,19.3324
"Amazilia rutila",-85.3847,12.2689
"Amazilia rutila",-83.8817,14.7584
"Amazilia rutila",-83.9475,14.3812
"Amazilia rutila",-101.455,17.7961
"Amazilia rutila",-100.864,17.2616
"Amazilia rutila",-99.6106,16.8923
"Amazilia rutila",-86.9683,13.3874
"Amazilia rutila",-101.191,17.4173
"Amazilia rutila",-87.8465,21.1173
"Amazilia rutila",-86.6219,12.9161
"Amazilia rutila",-84.3547,10.0451
"Amazilia rutila",-91.9348,14.3934
"Amazilia rutila",-91.9089,14.6514
"Amazilia rutila",-89.3137,15.0479
"Amazilia rutila",-86.05,12.333333
"Amazilia rutila",-83.75,14.366667
"Amazilia rutila",-86.9496,14.8311
"Amazilia rutila",-90.4017,14.7154
"Amazilia rutila",-87.0683,14.4507
"Amazilia rutila",-87.5289,13.6487
"Amazilia rutila",-86.2823,14.5938
"Amazilia rutila",-86.4186,15.082
"Amazilia rutila",-88.5999,14.9514
"Amazilia rutila",-83.9685,14.5517
"Amazilia rutila",-88.3249,14.7769
"Amazilia rutila",-85.4558,11.9406
"Amazilia rutila",-107.124041,24.434298
"Amazilia rutila",-105.687623,23.208655
"Amazilia rutila",-99.860428,17.445108
"Amazilia rutila",-105.212,19.7677
"Amazilia rutila",-83.6534,13.6405
"Amazilia rutila",-83.9229,13.4035
"Amazilia rutila",-87.7375,20.1655
"Amazilia rutila",-86.74,12.7458
"Amazilia rutila",-101.847,17.9529
"Amazilia rutila",-89.1396,15.0492
"Amazilia rutila",-102.368,18.753
"Amazilia rutila",-83.622,14.115
